ppCode,ppName,geometries
H0024,HONG LIM PARK OFF STREET,"1.2864010712106078, 103.84732683484886"
H0028,HAMILTON ROAD ,"1.3114220590899854, 103.86105227352236"
H0037,HORNE ROAD ,"1.3094289815895763, 103.86168280425382"
H0049,HARVEY ROAD ,"1.3333899059572425, 103.88448354447135"
H0050,HOWARD ROAD ,"1.3339435950318288, 103.88562688406911"
H0052,HARRISON ROAD ,"1.3354457773023352, 103.88477885108748"
H0055,HAVELOCK ROAD ,"1.289115805116501, 103.82849534500878"
H0057,HINDOO ROAD-KAMPONG KAPOR ROAD OFF STREET,"1.3079594133633965, 103.8544980304878"
H0061,HAPPY AVENUE NORTH ,"1.3309646052985948, 103.88057604657386"
H0064,HOLLAND ROAD - PEIRCE ROAD COACH PARK,"1.307356453743669, 103.80977072421588"
I0005,IRVING ROAD ,"1.335568244183836, 103.88734831080023"
I0006,IRVING PLACE ,"1.3360567388695506, 103.88662191676863"
J0001,JALAN BERSEH ,"1.307361446089861, 103.85734369952169"
J0003,JALAN BESAR ,"1.3115674143889893, 103.85925477632487"
J0006,JALAN KLAPA ,"1.3041579913231722, 103.85990973163985"
J0008,JALAN KLEDEK ,"1.3034199973639082, 103.8590269948785"
J0009,JALAN KUBOR (NORTH BRIDGE RD-VICTORIA ST),"1.3038008122706786, 103.85941536391339"
J0010,JALAN LANA ,"1.3236443027139553, 103.9188241573848"
J0012,JALAN PISANG ,"1.303135944437234, 103.858683727647"
J0015,JALAN BINCHANG ,"1.3520492544478335, 103.84552261601952"
J0017,JOO CHIAT ROAD OFF STREET,"1.3089312793026273, 103.90342597378921"
J0018,JIAK CHUAN ROAD ,"1.2798243017215665, 103.84179928136643"
J0020,JOO KOON ROAD ,"1.3255309618715179, 103.66874808628695"
J0021,JOO KOON WAY ,"1.3259175911441872, 103.66980032636388"
J0022,JALAN PINANG ,"1.3027418742484886, 103.85846506705681"
J0027,JOO KOON CIRCLE ,"1.32529138351137, 103.66728636297185"
J0029,JALAN SULTAN ,"1.3025424620357764, 103.8615854810749"
J0030,JALAN SEMERBAK ,"1.3253238905513571, 103.86306797989967"
J0033,JALAN TUKANG ,"1.3261052604408041, 103.71229395784465"
J0034,JALAN LEGUNDI ,"1.4412579769218767, 103.82310591531187"
J0035,JALAN TAMPANG ,"1.4420583320579232, 103.82362622871722"
J0036,JALAN DERUM ,"1.4416727585914422, 103.82305583730091"
J0037,JOO YEE ROAD ,"1.3288738978574801, 103.71564427804634"
J0038,JALAN MERAH SAGA ,"1.312250058144343, 103.79804242830349"
J0039,JALAN RUMIA ,"1.3112473337823816, 103.79777265396247"
J0040,JALAN KELABU ASAP ,"1.3107184657178732, 103.7979490752766"
J0041,JALAN HITAM MANIS ,"1.3084845043491085, 103.79898128739603"
J0042,JALAN KUNING ,"1.3095968690950155, 103.79871546820603"
J0043,JALAN PUTEH JERNEH ,"1.3093480246555809, 103.79817107723011"
J0047,JALAN LEMBAH KALLANG ,"1.3151479322623933, 103.86266475407484"
J0049,JELLICOE ROAD ,"1.3075318821429152, 103.86177949542926"
J0050,JALAN MAS KUNING ,"1.3080879709225124, 103.76376650477904"
J0051,JALAN MAS PUTEH ,"1.3083567984050302, 103.76241251868316"
J0054,JALAN BESAR - BEATTY ROAD OFF STREET,"1.3135186603580302, 103.85919495839542"
J0055,JALAN SEH CHUAN OFF STREET,"1.3416072967731962, 103.77498352226395"
J0056,JALAN SEH CHUAN-LORONG KILAT OFF STREET,"1.3408712086406303, 103.77471926354755"
J0057,JALAN DUSUN ,"1.327911128008022, 103.84389907294981"
J0058,JALAN KEMAMAN ,"1.3269308181664694, 103.85078232144082"
J0059,JALAN RAJA UDANG ,"1.3268314023447452, 103.8423767075397"
J0060,JALAN RAMA RAMA ,"1.3270182877970935, 103.84897715276611"
J0062,JALAN AMPAS ,"1.3260519141767704, 103.85128467990545"
J0069,JOO AVENUE ,"1.3153989039596208, 103.85505228564696"
J0070,JALAN ANGGEREK ,"1.3301006755447327, 103.88221733423768"
J0075,JAGO CLOSE ,"1.3069722168820201, 103.90801126287401"
J0080,JALAN MASJID ,"1.3197342453201544, 103.91242965812437"
J0088,JOO SENG ROAD ,"1.3379613860203294, 103.88354470849228"
J0092,JALAN KURAS OFF STREET ,"1.3733164289409938, 103.82902743813317"
J0093,JOO KOON CRESCENT ,"1.329206494633362, 103.67333612387465"
J0094,JALAN KURAS ,"1.37280489056752, 103.82949450391833"
J0095,JALAN LEBAN SERVICE ROAD,"1.3716724603283927, 103.82909508460328"
J0097,JALAN KUBOR (VICTORIA ST-ROCHOR CANAL RD),"1.3048685343153852, 103.85878498602803"
J0098,JALAN MESIN ,"1.333154056213745, 103.88341985264373"
J0099,JALAN BAHAR HEAVY VEHICLE PARK,"1.348063800712288, 103.70266323799034"
J0100,JALAN PELEPAH OFF STREET,"1.2740710679527718, 103.79551529813887"
J0102,JOO CHIAT ROAD (CHANGI ROAD-EAST COAST ROAD),"1.3105122420985114, 103.90161540647836"
J0104,JOO CHIAT PLACE ,"1.3137216978537598, 103.90286420557646"
J0106,JOO CHIAT LANE ,"1.3124569509695834, 103.90254402219487"
J0109,JALAN UBI ,"1.3179402671294334, 103.90038693976881"
J0111,JALAN LAPANG ,"1.322519270447301, 103.91402789131011"
J0112,JALAN GELENGGANG ,"1.3732017027780645, 103.82994567160203"
J0117,JALAN BESUT ,"1.3169645046812022, 103.72589928243642"
J0122,JALAN KAYU OFF STREET ,"1.3988702482283142, 103.87298020876877"
J0127,JALAN PENJARA ,"1.2984646921586076, 103.80670516298055"
J0128,JALAN KLEDEK OFF STREET,"1.3036048732447139, 103.85900502460217"
J0130,JOO CHIAT TERRACE (JOO CHIAT RD-TEMBELING RD),"1.3142886822523783, 103.89953476753935"
J0132,JALAN PENJARA OFF STREET,"1.2985842565848567, 103.80697910995119"
K0005,KANDAHAR STREET ,"1.3023115854014726, 103.85972176706913"
K0006,KAKI BUKIT ROAD 1 ,"1.3345093050978358, 103.90198607447823"
K0008,KEONG SAIK ROAD ,"1.2800825629621277, 103.84154209906796"
K0009,KERBAU ROAD ,"1.3068539109585624, 103.851483959026"
K0010,KILLINEY ROAD ,"1.2982585859942235, 103.83881937548266"
K0011,KINTA ROAD ,"1.310497268092546, 103.85302227182022"
K0013,KITCHENER ROAD ,"1.3082265255427317, 103.85902876709741"
K0022,KAKI BUKIT AVENUE 4 ,"1.3390861907546696, 103.90626556955947"
K0027,KAMPONG KAPOR ROAD ,"1.307702516584392, 103.85452555624265"
K0032,KENSINGTON PARK ROAD OFF STREET,"1.365957574908249, 103.86649257253231"
K0034,KUNG CHONG ROAD ,"1.2897596020491993, 103.81176447004076"
K0037,KING GEORGE'S AVENUE OFF STREET,"1.310287531645566, 103.86155503310925"
K0039,KING GEORGE'S AVENUE- HORNE ROAD OFF STREET,"1.3100117176044463, 103.86195254067118"
K0049,KELANTAN ROAD ,"1.3056056799483462, 103.85638366903105"
K0051,KENSINGTON PARK ROAD SERVICE ROAD,"1.3648910850308824, 103.86619012047063"
K0052,KALLANG SECTOR ,"1.3254450953161523, 103.87289446918503"
K0054,KALLANG WAY ,"1.3257562839404191, 103.87441216954389"
K0057,KALLANG AVENUE ,"1.3103753366607553, 103.86685771241628"
K0061,KALLANG BAHRU ,"1.318689516003464, 103.86613142257275"
K0064,KOVAN ROAD ,"1.360119848566245, 103.88309652829321"
K0069,KELANTAN LANE ,"1.3064945878447105, 103.85670694387633"
K0081,KIM CHUAN ROAD ,"1.3409780967926261, 103.88860508951352"
K0082,KAMPONG BUGIS OFF STREET,"1.3060643999346842, 103.86731520521822"
K0087,KIM KEAT CLOSE ,"1.3237384394541734, 103.85325923621878"
K0091,KAKI BUKIT ROAD 2 ,"1.3384315304876124, 103.89821808053136"
K0093,KAMPONG JAVA ROAD ,"1.3132884887727878, 103.84202239729666"
K0094,KELLOCK ROAD ,"1.2941154543585038, 103.82965674632679"
K0097,KAMPONG AMPAT ,"1.3345673115395382, 103.88315676394444"
K0099,KAMPONG EUNOS ,"1.3183116531203387, 103.90658061941105"
K0108,KEPPEL ROAD OFF STREET ,"1.273101747305914, 103.83959143701865"
K0110,KALLANG WAY 2A ,"1.3235326262862555, 103.87750658915927"
